Name,Address,City,State,Zip,Phone,Lat,Long
Alta Mesa Health and Rehabilitation,5848 East University Drive,Mesa,AZ,85205,480-981-0098,33.4234906,-111.7069137
Alta Vista Rehabilitation and Healthcare,510 Paredes Line Road,Brownsville,TX,78521,956-546-5358,25.9296582,-97.4897781
Arbor Glen Care Center,1033 East Arrow Highway,Glendora,CA,91740,626-963-7531,34.1072109,-117.8451912
Arris Healthcare,2115 S 56th St  Ste 318,Tacoma,WA,98409,253-533-2484,47.2070039,-122.4669493
Arroyo Vista Nursing Center,3022 45th Street,San Diego,CA,92105,619-283-5855,32.7372572,-117.1002519
Arvada Care and Rehabilitation Center,6121 West 60th Avenue,Arvada,CO,80003,303-420-4550,39.8059027,-105.0675654
Atlantic Memorial Healthcare Center,2750 Atlantic Avenue,Long Beach,CA,90806,562-424-8101,33.8069116,-118.1869531
Bainbridge Island Health and Rehabilitation Center,835 Madison Avenue N,Bainbridge Island,WA,98110,206-842-4765,47.6318113,-122.5240111
Beacon Hill Rehabilitation,128 Beacon Hill Drive,Longview,WA,98632,360-423-4060,46.1735,-122.9194842
Beatrice Health and Rehabilitation,1800 Irving Street,Beatrice,NE,68310,402-223-2311,40.2806718,-96.7321453
Bella Vista Transitional Care Center,3033 Augusta Street,San Luis Obispo,CA,93401,805-544-5100,35.2667864,-120.6432828
Bella Vita Health and rehabilitation Center,5125 North 58th Avenue,Glendale,AZ,85301,623-931-5800,33.5127589,-112.1852419
Bennett Hills Rehabilitation and Care Center,1220 Montana Street,Gooding,ID,83330,208-934-5601,42.9327417,-114.7117823
Broadway Villa Post Acute,1250 Broadway,Sonoma,CA,95476,707-938-8406,38.2781877,-122.4606647
Brookfield Healthcare Center,9300 Telegraph Road,Downey,CA,90240,562-869-2567,33.9567181,-118.1070955
Brookside Healthcare Center,105 Terracina Boulevard,Redlands,CA,92373,909-793-2271,34.0441096,-117.2133199
Busy Bee's Playhouse Center,2700 West 5600 South,Roy,UT,84067,801-825-9731,41.1625574,-112.0471942
Camarillo Healthcare Center,205 Granada Street,Camarillo,CA,93010,805-482-9805,34.2146654,-119.0562814
Cambridge Health & Rehabilitation Center,1106 Golfview Drive,Richmond,TX,77469,281-344-9191,29.5645129,-95.7610099
Camelback Post Acute Care and Rehabilitation,4635 North 14th Street,Phoenix,AZ,85014,602-264-9039,33.5050832,-112.0537172
Capstone Resources,"1606 West Whispering Wind Drive, Suite 101",Phoenix,AZ,85085,480-659-6807,33.7109434,-112.0981406
Careage Hills Rehabilitation and Healthcare,725 North 2nd Street,Cherokee,IA,51012,712-225-2561,42.7566603,-95.554688
